type,value,location,timestamp
audio,54.44774904387973,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,57.20830663638707,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,58.01323531842282,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,57.57634492153542,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,58.99122376017711,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,56.30083809520851,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,58.20658195786763,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,58.69393311701615,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,57.631509952694046,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,59.1899127565287,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,55.281499717623646,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,55.79405970954882,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,55.96207794652375,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,57.85193052296168,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,57.90955804298575,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,59.45980753914657,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,59.993528375118814,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:31:49Z
audio,53.209812381643246,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,56.669307093961535,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,57.32537393244642,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,58.665980559858404,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,58.647049948382616,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,57.459133756085166,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,57.0593034257724,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,56.9090332313149,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,57.48674701063638,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,56.57592511586792,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,55.55634309528302,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,56.60431242680006,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,57.52069928413989,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,55.798127593071776,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,60.796094360988626,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,56.02755465726263,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,56.71850537127973,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:12Z
audio,51.224464047456834,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,55.28868624885412,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,54.573823909648425,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,55.16686021184729,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,56.10867423371329,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,56.394047941516085,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,56.00226036826751,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,57.52714662107128,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,58.76876284249776,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,58.23604458363462,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,57.575580152986554,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,57.16636174595136,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,58.32161016732185,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,56.82297061244821,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,57.050155419191604,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,56.20059629664937,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,57.24747933058174,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:35Z
audio,51.10664351067284,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
audio,56.76479894295653,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
audio,56.93315958941536,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
audio,58.64118174436926,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
audio,58.87887176020389,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
audio,57.634189889308296,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
audio,57.288142108503706,IGA Marché Tellier Sainte Dorothee,2026-06-12T13:32:57Z
