type,value,location,timestamp
audio,46.55987605175206,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,49.60565919101878,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,50.17317424805955,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,47.631418340239236,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,48.83925571786065,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,48.45371376047237,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,50.94922337983788,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,51.33457878830412,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,50.43122526888415,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,48.56280630164055,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,50.27688010963154,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,51.77082044762864,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,48.7721363861568,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:37:42Z
audio,45.192636334858456,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,49.76143555096804,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,45.06306109615877,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,47.610127338338245,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,49.04378775630949,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,47.57639453715311,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,48.46627713975141,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,47.25643627686771,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,48.59143847888593,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,51.01983893168287,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,49.461121610982595,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,51.33236642536136,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,49.17098210116053,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,47.77454207593298,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,51.56654685543711,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,51.24108001051852,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,50.6396675995126,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:04Z
audio,41.75462930054859,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,47.078664419494984,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,47.30555934832885,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,46.560370774587284,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,49.29122376474047,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,48.822272875709096,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,47.771747752054445,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,44.394301950229114,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,50.57754202427663,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,51.35172121220595,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,49.98781767129495,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,45.601466616512724,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,47.11602922400999,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,50.991090090692445,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,48.5801559359342,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,47.67222059832581,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:27Z
audio,43.29350764491626,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,48.95712989415179,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,47.04945548436743,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,47.52476530375287,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,49.82332472062902,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,51.934309677517504,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,53.17936076999339,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,50.204127241957124,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,48.20392411710978,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,49.557115891710566,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,50.88980943183853,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,50.7607186373523,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,49.65621481942211,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,45.32069222007049,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,48.60646931044436,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,49.511450306999826,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,47.43332448592263,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:38:47Z
audio,41.13619542280996,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,48.50068316823539,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,49.80021289690686,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,51.497082788726786,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,49.64869046161895,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,47.90562038625468,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,47.094971000746035,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,47.99024570776537,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,48.51586862242335,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,47.33285788955278,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,49.97111647988767,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,49.14694031693852,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,46.23013129285873,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,48.80005024185388,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,50.42892047019356,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,50.09417335186561,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:10Z
audio,44.13459291916386,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,53.07710877112109,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,51.105839999912064,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,48.81790806866539,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,51.18582596683438,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,50.73973858340038,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,50.891008261116546,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,49.101611737422,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,49.05445113494245,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,46.96475705925867,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,50.08282590317482,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
audio,51.41463403280602,IGA Marché Tellier Sainte Dorothee,2026-06-14T10:39:32Z
