"Time (s)","Sound pressure level (dB)"
0.000000000E0,5.802213393E1
0.000000000E0,6.222592876E1
2.518146667E-1,6.280211638E1
3.559794583E-1,6.363882231E1
4.598158750E-1,6.331074524E1
5.658575000E-1,6.456684075E1
6.724375417E-1,6.457659202E1
7.767688333E-1,6.297991858E1
8.825497917E-1,6.543656049E1
9.891103750E-1,6.275582073E1
1.093698000E0,6.438273832E1
1.198890208E0,6.581008164E1
1.305522542E0,6.429048226E1
1.410686167E0,6.529668400E1
1.517225583E0,6.402262612E1
1.623803458E0,6.531835410E1
1.727558667E0,6.436971600E1
1.828486292E0,6.327361458E1
1.934298333E0,6.287524090E1
2.037556667E0,6.419836796E1
2.141173583E0,6.347862582E1
2.247358333E0,6.153564965E1
2.351400167E0,6.261296330E1
2.457862375E0,6.469706582E1
2.561600917E0,6.544895219E1
2.665996333E0,6.693259961E1
2.768148833E0,6.577074659E1
2.874801750E0,6.411335801E1
2.978826875E0,6.534685879E1
3.084746292E0,6.786973145E1
3.191208625E0,6.526946436E1
3.295787917E0,6.460428178E1
3.401476583E0,6.313705870E1
3.507954292E0,6.423370740E1
3.612591750E0,6.521149907E1
3.718171292E0,6.443877379E1
3.824650000E0,6.498496431E1
3.929714208E0,6.539378650E1
4.034759875E0,6.407330044E1
4.139219458E0,6.517402365E1
4.243207542E0,6.238220493E1
4.346828750E0,6.391233435E1
4.451468125E0,6.639779610E1
4.557997333E0,6.604184787E1
4.663758375E0,6.458601145E1
4.768130542E0,6.529831090E1
4.874718958E0,6.276985506E1
4.980756917E0,6.404190490E1
5.086283208E0,6.429298465E1
5.189789333E0,7.083536365E1
5.294235292E0,6.589173953E1
5.397800458E0,6.524052420E1
5.501482042E0,6.742583240E1
5.604132708E0,6.606581091E1
5.710593250E0,6.653248195E1
5.813265875E0,6.543885512E1
5.918110542E0,6.541366175E1
6.024906833E0,6.666916328E1
6.128302833E0,6.418077158E1
6.234732542E0,6.496030138E1
6.340522250E0,6.446046929E1
6.445299083E0,6.344622106E1
6.551449125E0,6.376833253E1
6.658286625E0,6.593993317E1
6.762281417E0,6.511046093E1
6.868129375E0,6.574511954E1
6.974806125E0,6.644646690E1
7.079273917E0,6.690216622E1
7.184825625E0,6.378816174E1
7.291511500E0,6.367067190E1
7.396236750E0,6.959750075E1
7.501471458E0,7.032205356E1
7.605337875E0,6.904415756E1
7.709784042E0,6.894040316E1
7.813273250E0,6.677771122E1
7.919671250E0,6.507421931E1
8.026688500E0,6.368160715E1
8.130151958E0,6.602619143E1
8.236299917E0,6.524144973E1
8.343188125E0,6.487157286E1
8.447206292E0,6.532980515E1
8.552983833E0,6.502805922E1
8.657248542E0,6.604811104E1
8.759799375E0,6.410245260E1
8.864131333E0,6.321644523E1
8.969623833E0,6.322612636E1
9.073963042E0,6.311141183E1
9.179857208E0,6.332605563E1
9.286294333E0,6.513781811E1
9.390719167E0,6.360561132E1
9.497204750E0,6.589643577E1
9.602939375E0,6.302836866E1
9.707421167E0,6.121536768E1
9.813864375E0,6.224940529E1
9.919017667E0,6.185793547E1
1.002404754E1,6.455034415E1
1.013051517E1,6.339914766E1
1.023195267E1,6.430039701E1
1.033629621E1,6.395305749E1
1.044071071E1,6.471336313E1
1.054663813E1,6.469968702E1
1.065290962E1,6.317906375E1
1.075736008E1,6.452380749E1
1.086382079E1,6.595166683E1
1.096963542E1,6.469618642E1
1.107397150E1,6.471929156E1
1.118049592E1,6.327357032E1
1.128626042E1,6.340740958E1
1.139062429E1,6.499127807E1
1.149715050E1,6.484097331E1
1.160292733E1,6.704456956E1
1.170731108E1,6.514211440E1
1.181384937E1,6.522092568E1
1.191879183E1,6.484211524E1
1.202404725E1,6.489809772E1
1.213052333E1,6.387618379E1
1.223567054E1,6.412399029E1
1.234064046E1,6.451631948E1
1.244214625E1,6.410573806E1
1.254854283E1,6.226868214E1
1.265281083E1,6.382075409E1
1.275729171E1,6.108897590E1
1.286376288E1,6.642524247E1
1.296977963E1,6.605665757E1
1.307390983E1,6.400650859E1
1.318045017E1,6.488523788E1
1.328673358E1,6.643556288E1
1.339060796E1,6.609687950E1
1.349641200E1,6.760021822E1
1.360179083E1,6.387488954E1
1.370725108E1,6.478347789E1
1.381372554E1,6.316843400E1
1.391873608E1,6.362278781E1
1.402402783E1,6.684381165E1
1.412684654E1,6.720804072E1
1.423337667E1,6.625511181E1
1.433580271E1,6.340469034E1
1.444064238E1,6.858668570E1
1.454643512E1,7.017842571E1
1.465272975E1,7.124264150E1
1.475723912E1,7.723299654E1
1.486100558E1,7.158321483E1
1.496398175E1,6.691640540E1
1.506984825E1,6.867242209E1
1.517391908E1,6.664361436E1
1.528038425E1,6.781281096E1
1.538676629E1,6.946802543E1
1.549115367E1,6.800918039E1
1.559765063E1,6.999963229E1
1.570381150E1,6.834125764E1
1.580781829E1,6.543006742E1
1.591425454E1,6.378397269E1
1.601907254E1,6.264935724E1
1.612373179E1,6.584290705E1
1.622823858E1,6.622197925E1
1.633472846E1,6.676501242E1
1.644117058E1,6.547163552E1
1.654766192E1,6.598660596E1
1.665411150E1,6.776554916E1
1.675778400E1,6.632756490E1
1.686464171E1,6.814522145E1
1.697110792E1,6.689781640E1
1.707354892E1,6.798628229E1
1.717527758E1,6.465231657E1
1.728174850E1,6.416409414E1
1.738823042E1,6.161867022E1
1.749063750E1,6.414916450E1
1.759233950E1,6.504596237E1
1.769892217E1,6.526321635E1
1.780538717E1,6.521191419E1
1.790761954E1,6.571904794E1
1.801187521E1,6.671980046E1
